date,EUR,USD,JPY,GBP,SGD,AUD,CNY,CAD,MYR,RUB
2022-06-04,15472.392831,14433.7311,110.309972,18025.265189,10504.898908,10402.089321,2167.083721,11461.800777,3287.034736,227.80021
2022-06-05,15485.730008,14438.27523,110.458521,18035.444669,10499.571117,10402.065698,2167.769233,11471.877219,3288.107024,228.268795
2022-06-06,15435.610838,14438.00731,109.229017,18079.826828,10484.737163,10378.17071,2169.827023,11474.581811,3287.619246,235.237499
2022-06-07,15474.585787,14465.79754,108.886234,18207.422958,10524.25395,10444.694575,2168.50239,11538.115989,3290.987205,231.448058
2022-06-08,15554.392331,14513.64794,107.950822,18199.159789,10545.180255,10429.543141,2171.453527,11560.330346,3303.000387,241.887722
2022-06-09,15516.311183,14612.17573,108.703153,18253.583003,10568.621243,10371.336312,2183.372342,11502.661301,3325.794107,251.930285
2022-06-10,15371.927312,14615.16733,108.743481,17998.309582,10529.887051,10332.902533,2178.435499,11449.765234,3320.059456,253.621282
2022-06-11,15371.936652,14615.32993,108.730388,18000.504877,10530.383545,10306.566669,2178.453241,11437.527335,3320.073767,253.625908
2022-06-12,15265.548256,14553.41043,107.947562,17862.643825,10460.371619,10213.206286,2169.233677,11371.273308,3306.015409,130.818595
2022-06-13,15431.775315,14817.43634,110.386017,17994.117917,10629.97162,10285.029528,2193.651572,11494.582446,3353.430923,256.57192
2022-06-14,15413.328862,14764.58185,109.123814,17734.381351,10601.941542,10169.63546,2190.24307,11405.096597,3338.446894,252.920867
2022-06-15,15385.289287,14714.79838,109.711648,17913.200292,10615.129295,10324.435449,2191.858119,11429.59103,3334.012693,257.020851
2022-06-16,15618.483099,14809.28949,111.829193,18295.044276,10704.762431,10425.993361,2208.828503,11431.684104,3363.790497,258.110154
2022-06-17,15573.825173,14839.20784,109.952571,18141.284432,10668.397743,10266.861203,2209.277352,11383.951025,3370.930722,258.067974
2022-06-18,15573.666562,14839.05671,109.922025,18141.321454,10670.743987,10284.759506,2209.241695,11383.835085,3370.888733,258.066153
2022-06-19,15550.871497,14823.24622,109.572971,18124.651489,10675.726482,10302.792835,2206.887826,11401.356957,3367.312469,261.194798
2022-06-20,15597.479451,14828.05579,109.761447,18165.403771,10682.036834,10333.644004,2215.576483,11421.483979,3368.764705,270.827617
2022-06-21,15623.202521,14833.91833,108.85275,18195.098961,10705.61794,10326.431138,2217.456373,11469.288002,3372.824518,275.333521
2022-06-22,15681.537723,14846.80947,109.143946,18187.487101,10702.254422,10251.268372,2215.214328,11451.895152,3370.383618,269.934678
2022-06-23,15620.42406,14849.08752,110.120891,18204.996592,10688.640926,10250.29339,2216.814417,11433.016515,3370.342234,272.454472
2022-06-24,15655.059043,14829.72433,109.676399,18187.72377,10670.324958,10305.433093,2216.723393,11503.133231,3368.814675,273.604789
2022-06-25,15655.269511,14829.76715,109.676602,18187.776286,10670.432544,10305.534465,2216.739735,11502.987993,3368.793792,273.607195
2022-06-26,15688.027354,14848.40413,109.932748,18236.353971,10716.072321,10308.957697,2219.505667,11512.264888,3373.035111,278.051932
2022-06-27,15675.246778,14815.30274,109.385132,18173.379873,10693.417883,10255.288644,2213.925665,11509.981386,3364.017834,278.871405
2022-06-28,15638.640514,14861.40008,109.23252,18114.380537,10710.533011,10260.563436,2215.312251,11543.821282,3379.826221,276.487975
2022-06-29,15544.572955,14880.81969,108.943248,18049.609056,10683.950324,10236.865607,2220.699674,11549.844528,3382.05828,283.438084
2022-06-30,15641.622436,14929.30295,109.941389,18153.997532,10738.49708,10297.136221,2228.490325,11595.935369,3387.188196,272.054092
2022-07-01,15617.247291,14975.5346,110.742796,18127.553624,10725.846828,10205.628126,2234.757498,11616.145361,3398.062799,262.725312
2022-07-02,15617.012733,14975.46585,110.743369,18127.470404,10725.720768,10205.581274,2234.773918,11616.182138,3398.06262,262.723461
2022-07-03,15585.861476,14938.42479,110.611033,18078.037576,10702.103959,10181.032107,2229.083322,11590.147173,3389.634609,134.27969
2022-07-04,15667.008836,15017.29798,110.546161,18191.319387,10759.689031,10321.876404,2241.310818,11679.160365,3402.914067,263.458318
2022-07-05,15430.344165,15043.65974,110.990423,17970.303342,10705.631002,10218.836219,2238.619855,11540.265837,3403.85867,236.905229
2022-07-06,15292.45172,15015.19957,110.428956,17900.596762,10687.507257,10185.32056,2238.341781,11517.549989,3393.618222,236.267064
2022-07-07,15216.471443,14964.94317,110.102603,17998.60866,10686.726107,10246.241549,2232.853762,11539.188799,3379.525209,237.253925
2022-07-08,15255.474133,14977.36684,110.032333,18016.584475,10700.870824,10295.562671,2236.983759,11564.998409,3383.148336,230.41681
2022-07-09,15255.312843,14977.20849,110.052442,18016.610718,10702.59289,10269.686771,2236.976814,11549.18068,3383.066716,230.413381
2022-07-10,15225.235209,14977.36838,109.880058,17996.453403,10706.226414,10252.362209,2236.943896,11565.71405,3383.1334,230.770154
2022-07-11,15081.439045,15010.85791,109.253759,17862.838744,10683.428402,10121.544583,2234.280615,11550.723252,3390.705775,240.168424
2022-07-12,15062.03182,15014.73704,109.81288,17832.652842,10666.527219,10130.171126,2232.684613,11521.172042,3383.922994,256.988701
2022-07-13,15079.19934,15030.79511,109.209627,17830.759232,10682.10867,10118.749401,2237.104972,11560.549393,3387.519153,257.043396
2022-07-14,15083.535799,15045.82696,108.263704,17812.247049,10723.045591,10162.665964,2226.913154,11475.815512,3385.558212,258.181022
2022-07-15,15126.931873,14996.68899,108.253362,17778.278434,10715.135248,10178.494872,2219.236294,11503.968971,3370.731765,263.091914
2022-07-16,15126.689604,14996.75134,108.253664,17777.509353,10715.179797,10188.633368,2219.242237,11503.928553,3370.753356,263.097162
2022-07-17,15136.766277,14993.4211,108.388342,17823.000689,10725.75174,10214.685011,2218.729723,11524.270078,3370.004832,134.773378
2022-07-18,15198.365448,14981.78874,108.380092,17899.175326,10720.958288,10202.10333,2221.693289,11540.254148,3364.342839,259.418624
2022-07-19,15306.521607,14961.20648,108.260081,17957.18287,10751.082552,10317.148449,2218.15097,11623.153132,3362.015986,264.79674
2022-07-20,15306.25419,15032.27224,108.614315,17994.747525,10790.751534,10352.590677,2225.025494,11665.765602,3376.437743,273.305643
2022-07-21,15347.645392,15016.381814,109.524797,18012.4676,10803.774184,10395.33372,2219.165681,11658.01174,3369.087882,258.896783
2022-07-22,15299.421519,14978.31726,109.915114,17980.46087,10791.434802,10380.236014,2218.533719,11597.810617,3364.333132,257.685295
2022-07-23,15299.358351,14978.347214,109.987886,17980.453659,10793.517132,10373.75774,2218.543742,11595.221138,3364.339861,257.686781
2022-07-24,15318.123408,15018.225188,110.148313,18003.146953,10808.241998,10368.974177,2224.365664,11619.013171,3373.272748,258.371622
2022-07-25,15324.032003,14989.447088,109.862308,18068.65267,10814.023028,10418.787517,2220.288122,11663.496181,3365.728544,256.227167
2022-07-26,15184.152952,14990.858685,109.441955,18042.884825,10788.477131,10414.064702,2216.455729,11643.602432,3364.130612,249.324719
2022-07-27,15230.725664,14920.978396,109.614391,18148.023669,10794.999896,10436.702887,2207.688169,11640.644715,3346.54633,251.297845
2022-07-28,15134.678298,14849.949595,110.48979,18076.05553,10763.804786,10393.178129,2200.810908,11592.765149,3335.140438,237.596411
2022-07-29,15149.35796,14815.693351,111.189057,18037.716544,10730.760933,10352.089676,2196.759557,11566.781159,3328.927181,238.000537
2022-07-30,15149.256265,14815.624194,111.18909,18037.478626,10730.780793,10351.976256,2196.741811,11566.754258,3328.945301,237.996325
2022-07-31,15139.568265,14833.203962,111.182276,18046.90691,10733.011216,10339.84026,2199.365682,11573.485482,3332.866869,238.279367
2022-08-01,15232.407092,14845.290698,112.825113,18190.439819,10783.086392,10426.579354,2193.129721,11558.179206,3334.052916,229.707869
2022-08-02,15126.793707,14895.626046,111.675746,18086.039604,10760.900631,10263.212286,2205.819572,11557.10268,3344.248224,244.888934
2022-08-03,15140.785846,14906.754719,111.268879,18093.02729,10795.088881,10339.857013,2205.737041,11596.472162,3344.533127,237.668637
2022-08-04,15258.691614,14890.453609,112.272029,18103.102611,10825.838438,10362.274404,2206.170601,11569.049043,3340.112113,242.118622
